rank,player,first_name,last_name,position,height,team,overall,3pt,dunk
1,Nikola Jokic,Nikola,Jokic,C,"6'11""",DEN,98,87,75
2,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,PG/SG,"6'6""",OKC,98,82,75
3,Giannis Antetokounmpo,Giannis,Antetokounmpo,PF/C,"6'11""",MIL,97,75,91
4,Luka Doncic,Luka,Doncic,PG/SG,"6'6""",LAL,97,87,75
5,Victor Wembanyama,Victor,Wembanyama,C/PF,"7'3""",SAS,96,81,85
6,Anthony Edwards,Anthony,Edwards,SG/SF,"6'4""",MIN,96,89,97
7,Stephen Curry,Stephen,Curry,PG/SG,"6'2""",GSW,95,99,36
8,Donovan Mitchell,Donovan,Mitchell,SG/PG,"6'3""",CLE,95,86,92
9,Jaylen Brown,Jaylen,Brown,SF/PF,"6'6""",BOS,95,80,94
10,Jayson Tatum,Jayson,Tatum,PF/SF,"6'8""",BOS,94,85,89
11,Kawhi Leonard,Kawhi,Leonard,SF/PF,"6'7""",LAC,94,83,80
12,Cade Cunningham,Cade,Cunningham,PG/SG,"6'6""",DET,94,80,75
13,Jalen Brunson,Jalen,Brunson,PG,"6'2""",NYK,93,86,35
14,Tyrese Haliburton,Tyrese,Haliburton,PG/SG,"6'5""",IND,93,84,65
15,Devin Booker,Devin,Booker,PG/SG,"6'6""",PHX,93,86,75
16,Tyrese Maxey,Tyrese,Maxey,PG/SG,"6'2""",PHI,93,86,70
17,LeBron James,LeBron,James,PF/SF,"6'9""",LAL,92,76,85
18,Kevin Durant,Kevin,Durant,SF/SG,"6'11""",HOU,92,90,85
19,Anthony Davis,Anthony,Davis,PF/C,"6'10""",WAS,92,71,85
20,Joel Embiid,Joel,Embiid,C,"7'0""",PHI,92,74,80
21,Kyrie Irving,Kyrie,Irving,PG/SG,"6'2""",DAL,90,86,30
22,Jamal Murray,Jamal,Murray,PG/SG,"6'4""",DEN,90,90,82
23,Karl-Anthony Towns,Karl-Anthony,Towns,C/PF,"7'0""",NYK,89,83,75
24,James Harden,James,Harden,PG/SG,"6'5""",CLE,89,83,75
25,Trae Young,Trae,Young,PG,"6'1""",WAS,88,83,30
26,Bam Adebayo,Bam,Adebayo,C/PF,"6'9""",MIA,88,79,80
27,Chet Holmgren,Chet,Holmgren,PF/C,"7'1""",OKC,88,81,75
28,Damian Lillard,Damian,Lillard,PG,"6'2""",POR,88,86,85
29,Jimmy Butler,Jimmy,Butler,PF/SF,"6'7""",GSW,88,81,75
